"geneSym","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","ZT0","ZT04","ZT08","ZT12","ZT16","ZT20"
"Dhx57",7.45591195011608e-05,0.0208141303195517,24,19.9999631598531,704.591858171667,100.849956229383,0.143132446195272,749.7024338115,652.141218279,589.5958212315,673.730162096,749.331336675,813.050176937
"Armc9",7.53647006950242e-05,0.0208141303195517,24,20.9999631598531,715.292978289833,299.831046293908,0.41917236068885,960.245798889,715.3315987965,427.135243303,481.18642479,743.0473113345,964.811492626
"4933431E20Rik",7.89379815550051e-05,0.0208141303195517,24,3.68401469190059e-05,57.86524789925,25.2587103722931,0.436509153408819,79.039276206,66.2125653465,37.394043862,35.8779945205,53.97836352,74.6892439405
"Zfhx4",7.99859835255434e-05,0.0208141303195517,24,20.9999631598531,1347.83135272792,270.68840172508,0.200832545686985,1527.2853980895,1246.494967842,1113.2790337845,1138.3142433125,1429.625581665,1631.988891674
"Mlh3",8.02257522231065e-05,0.0208141303195517,24,20.9999631598531,323.427813323833,74.3553706801424,0.229897886381509,370.5045002055,302.946144888,261.470043679,263.505639789,333.962908107,408.1776432745
"Itga2b",8.23681725382608e-05,0.0208141303195517,24,5.6834909001853,233.282685904583,38.3064347382234,0.164206077230658,252.3102721905,273.683004303,269.7916102975,227.5549158855,188.0397891405,188.3165236105
"Dut",8.36999254879567e-05,0.0208141303195517,24,20.9999631598531,125.107110746667,19.835836224116,0.158550829810803,135.1566973155,115.9611542415,102.817869276,113.89652718,136.315457901,146.494958566
"Tspan33",8.42249186823185e-05,0.0208141303195517,24,20.9999631598531,351.0761182635,125.911877653787,0.358645521878774,417.8996304795,351.702404913,223.7224106655,250.785850688,372.971604498,489.374808337
"Rbbp6",8.43998916983946e-05,0.0208141303195517,24,9.16303936660043,481.086370021083,50.6134417670007,0.105206559405918,458.2049196645,501.958173366,538.0720355035,514.23517546,447.937325757,426.1105903755
"Safb",8.68934667435095e-05,0.0208141303195517,24,9.76313691365628,705.132830389917,96.4157823081061,0.136734212552252,646.5149181465,742.7004780795,802.7985957485,785.6232254515,642.0029952015,611.156769712
"Hps1",8.72186936625718e-05,0.0208141303195517,24,1.00003684014692,397.509943426167,98.7292991973873,0.248369382527723,517.845382899,443.7256806195,353.7097156315,301.792916228,346.7413306095,421.2446345695
"Slc25a20",8.80808958604318e-05,0.0208141303195517,24,8.05787324225441,419.117664545,55.7939959101786,0.133122511003561,399.3943350375,446.3961321195,477.2065034315,450.5387488555,381.1354964175,360.0347714085
"Ptk7",8.8269805844865e-05,0.0208141303195517,24,7.93812301990581,374.141719571333,77.8182537580462,0.20799138317749,348.7096676895,406.082641623,476.4542931965,393.618642774,320.561559834,299.423512311
"Krba1",8.87235085678117e-05,0.0208141303195517,24,20.9999631598531,596.057856395167,70.0140024995201,0.117461756016354,639.275068695,564.115953006,520.201536327,558.8987608155,624.037449783,669.8183697445
"Ndrg1",8.91187912228641e-05,0.0208141303195517,24,21.9999631598531,523.225041083084,210.405530844539,0.402131997369615,719.284493694,599.360592132,324.439038897,332.3995562475,497.4460129635,666.4205525645
"Sdhb",8.94898498533525e-05,0.0208141303195517,24,9.12924368272747,634.744910167333,81.4042332794567,0.128247161931549,567.462649599,658.4814083085,724.688665662,681.5715363835,605.8958259435,570.3693751075
"Mre11a",8.96367540271781e-05,0.0208141303195517,24,20.9999631598531,442.552854766167,79.6246034603272,0.179921115868519,480.141726564,402.3578524515,380.440040826,379.280122353,462.111913866,550.9854725365
"Sdc4",8.98843876306898e-05,0.0208141303195517,24,9.93625553656216,718.348424627083,87.5998703872851,0.121946213542211,640.108201467,734.5457084475,793.941090149,790.160344371,710.5275523095,640.8076510185
"Rnf10",8.99627211887744e-05,0.0208141303195517,24,9.14418583400506,801.490329268833,99.3705522179627,0.123982222353967,723.5995816395,838.559506557,908.4135772305,862.37025934,755.6453908935,720.3536599525
"Slc4a4",9.04897887482603e-05,0.0208141303195517,24,3.68401469190059e-05,3196.260084787,595.039594340464,0.186167451507663,3731.3914788675,3278.1053141265,2705.136019459,2704.1815110715,3131.5492012515,3627.196983946
