"geneSym","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","GSM1321185","GSM1321186","GSM1321187","GSM1321188","GSM1321189","GSM1321190","GSM1321191","GSM1321192","GSM1321193","GSM1321194","GSM1321195","GSM1321196"
"St3gal5",4.55879778371582e-11,2.38371491173235e-08,24,12.8646547856712,1866.62916666667,645.916122572427,0.346033445799988,1049.2,1248,1073.9,1883.2,2129.2,2157.9,2535.4,2607.2,2368.7,1753,1652.4,1487.9
"Crot",4.74862371646623e-11,2.43137229207134e-08,24,3.1224852084327,6898.61666666667,1769.80151982956,0.256544406704179,8503.8,8255.2,8052.9,8205.6,7473.6,6258.9,5236.1,4379.6,5041,6183.8,6790.9,7736.1
"Pnkd",4.78670436621087e-11,2.43137229207134e-08,24,22.503581542158,1209.04583333333,539.817157825199,0.44648196366297,1691,1485.2,1378.6,1041.8,666.8,683.1,665.5,832.3,1266.8,1374.5,1710.4,1538.4
"Por",4.88057372294293e-11,2.43207650913435e-08,24,12.2621695946569,3133.96666666667,1108.15534259967,0.353595127346495,2201.7,2420.2,2163.7,2986.6,3381.1,4259,4678,4275.8,3514.7,3018.6,2579.7,2539.4
"Pid1",4.9712789440548e-11,2.43207650913435e-08,24,22.5438477068117,1249.47083333333,343.526047142875,0.274937227807405,1742.2,1421.9,1428,1083.5,1003.5,724.1,982.1,1006.2,1374.1,1337.4,1377.5,1554.9
"Per2",4.99329466663312e-11,2.43207650913435e-08,24,15.3170596277248,601.583333333333,365.030749025421,0.606783347874367,317.4,187.2,185.8,321.9,669.4,649.8,769.9,1085.9,1155.3,829.2,560.6,426.6
"Gm8597||Gm9992||Unc93a",5.36942712514588e-11,2.57993717380658e-08,24,5.54463716306725,445.804166666667,156.979772464626,0.352127198896285,421.9,512.9,651,594.6,556.2,497.6,454.2,337.1,270,292,370.2,365.8
"Nfic",5.51937384685175e-11,2.61662475331548e-08,24,17.3737300821774,1029.3,176.402410087665,0.171380948302404,1111.7,933,826.4,793.5,828.6,1033.3,1035.9,1062,1210.9,1103.5,1170.2,1057.7
"Leo1",5.64405189251715e-11,2.64052511960974e-08,24,21.8289227213277,199.404166666667,46.1790541542764,0.231585201684735,259.4,222.4,206.3,171.2,153.9,153.5,161.1,184.5,222.2,219.4,243.1,234.3
"Szt2",6.04007954763119e-11,2.78910478435811e-08,24,21.9462366995005,225.1625,49.3487645815379,0.219169553462668,277.2,239.2,200.8,196.5,185.9,140.3,186.2,226.4,241.3,237.9,278.8,255.3
"Pnrc1",7.88105136706463e-11,3.53605025593673e-08,24,22.5827203479946,892.345833333334,333.848996426129,0.374125124985506,1217.4,1086.2,946.6,749.7,631.5,499.3,656.3,622.9,788.9,1144,1159.2,1113.3
"Dpy19l1",7.95601362568732e-11,3.53605025593673e-08,24,17.4257302491035,1154.22083333333,200.985091232568,0.174130535013939,1153.3,1103.9,972.2,913.8,994.4,977.7,1180.1,1259.2,1321.9,1417.2,1316.8,1194.4
"Slc25a35",8.23503487623611e-11,3.61487530937594e-08,24,21.1673571802162,101.920833333333,25.755733860341,0.252703328828823,111,94,99.7,83.7,81.1,68.1,88.8,109.2,108.4,129.1,137.7,118.4
"LOC102639802",8.88089601858155e-11,3.82818007013106e-08,24,21.2971569416985,219.066666666667,81.5395415466044,0.372213366767823,262.4,206.7,194.4,184.6,152,139.8,160.3,167.4,279.2,276.9,337.5,306.6
"Ddc",9.16380304971653e-11,3.87890691947287e-08,24,21.9331737592107,2021.95416666667,1119.2801365758,0.553563555014212,2719.6,2715.8,2264.4,1495.2,1060.9,643,1069.9,1724.1,1909.4,3357.1,2975.2,2898.5
"Trim65",9.56440482369203e-11,4.00084679895522e-08,24,17.2333752466389,259.8625,40.818076377661,0.157075670316652,271.6,236.1,227.8,219,225.2,234.4,262.1,280.4,326.3,309.1,274.8,262.8
"Rorc",9.92734783267224e-11,4.10438115742435e-08,24,17.6195097438704,3034.30833333333,1488.67859121368,0.490615464110826,2745.2,1860.3,1726.7,1322.3,1996.4,2121.7,2928.4,3704.8,4191,4203.2,4524.3,4104.5
"Inca1",1.0364209490632e-10,4.23574520286105e-08,24,2.9829693043971,511.008333333334,142.728721311051,0.279308011241273,555,635.8,802.4,582.2,522,402.6,475.7,397.3,399,427.9,491,563.9
"Phospho1",1.05957687068781e-10,4.28117218342905e-08,24,1.6160581211478,221.670833333333,120.547244718636,0.54381193459658,316.8,475.6,261.1,238.1,182.4,132.5,131.2,97.6,115.9,193.6,296.6,314.9
"Lonrf3",1.08826281319807e-10,4.34767107708659e-08,24,19.7865910849664,254.8375,143.767052647459,0.564151871869169,348,178.6,155.3,92.9,114.4,131.5,226.5,250,388.7,367.1,391.1,344.8
"NaN_3341",1.10063957947659e-10,4.34826009865219e-08,24,11.0773320647953,5915.52916666667,650.271298405695,0.109926141869082,5748.2,5322.1,5691.1,5807.8,6436.6,6463.4,6506.1,6500.3,6092.8,5502.9,5575.5,5017.6
"Lgals9",1.12544862318487e-10,4.39741222483089e-08,24,1.052751891216,4173,797.365366866707,0.191077250627057,4795.6,5028.1,5027.7,4540.3,4013.6,3574.4,3593.5,3592.3,3655.6,3876.4,4364.2,4770.7
"Pmvk",1.14183662525136e-10,4.41295033124318e-08,24,21.8883702474438,609.5875,203.69939319125,0.334159399907724,641,680.9,678.7,482.6,459.5,442.2,521,488.1,565,677.3,846.5,862.2
"Spata22",1.20664700453688e-10,4.56420647801204e-08,24,2.0856417391012,197.779166666667,82.1345802698079,0.415284287289146,269.3,261.1,295.8,223.2,203.7,137.7,143.7,88.2,114.7,169.4,241.1,234.2
"Elovl3",1.28851374014971e-10,4.8007406709754e-08,24,23.1110029480846,6248.75,4125.66651398747,0.660238689975991,9917.7,9129.9,7641.2,6854.7,3541.8,2474.8,2507.4,2430.1,5220.6,8103.3,10118.3,10109.9
"Amt",1.30008559473538e-10,4.8007406709754e-08,24,1.00006921357495,991.029166666667,324.780409173671,0.327720333666941,1380.2,1429,1469.5,1078.6,956.6,682.4,832.8,604,753.5,880.3,1079.5,1205.6
"Aspdh",1.30968569322931e-10,4.8007406709754e-08,24,22.4811132490762,1139.45416666667,185.951841078948,0.163193787445551,1300.1,1256,1276.3,1120.1,1046.1,869.3,1057.1,1016.7,1141.7,1128.9,1345.3,1322.1
"Sdr9c7",1.36876510126172e-10,4.96610325923077e-08,24,22.4521341081958,1504.27083333333,334.52306993616,0.22238220839188,1923.9,1546.1,1614.2,1552.2,1237.6,1154.1,1166.5,1308.6,1570.7,1644.7,1876.8,1709.2
